R_Type,#,Barcodes,Location,Row,Column,Original Name,compound_name,core_common_name,substituents,conjugation,side_chain_group,salt,SMILES_unsalted,core_alkene,mw_g_mol,formula,state,concentration_mM
BA,652,R-4S2C69,UnuBAC,5,2,Cholyl Ethanolamine-o-Sulfate Na+ (Pure),(2-Aminoethylsulfate)-CA,CA,3a_7a_12a,Aminoethyl_sulfate,carboxylic_acid,Sodium,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCOS(=O)([O-])=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,NA,,,,
BA,654,R-9BPAKT,UnuBAC,5,4,Chenodeoxycholyl-a-Amino Butyrate Na+,(alpha-aminobutyric-acid)-CDCA,CDCA,3a_7a,L_Aminobutyric_acid,carboxylic_acid,Sodium,O=C(O)CCCNC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)=O,NA,,,,
BA,620,R-KAFJ76,UnuBAC,2,5,Nor Ursodeoxycholyl Amino methane sulfonate Na+ ,(aminomethanesulfonate)-C23-UDCA,NA,3a_7b,Aminomethanesulfonic_acid,sulfonic_acid,Sodium,O[C@@H]1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3([C@H](C[C@]2([H])C1)O)[H])[H])[C@@H](CC(NCS(=O)([O-])=O)=O)C)C)[H])C,NA,,,,
BA,670,R-X6WJGT,UnuBAC,6,10,Nor Ursodeoxycholyl Amino methane sulfonate Na+ ,(aminomethanesulfonate)-C23-UDCA,NA,3a_7b,Aminomethanesulfonic_acid,sulfonic_acid,Sodium,O[C@@H]1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3([C@H](C[C@]2([H])C1)O)[H])[H])[C@@H](CC(NCS(=O)([O-])=O)=O)C)C)[H])C,NA,,,,
BA,378,r-2a9hne,FlaBA,1,10,3a 7b amino methyl sulfonate (C23),"(aminomethylsulfonate)-3a,7b-C23oic(OH)2",NA,3a_7b,Aminomethanesulfonic_acid,sulfonic_acid,NA,O[C@@H]1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3([C@H](C[C@]2([H])C1)O)[H])[H])[C@@H](CC(NCS(=O)([O-])=O)=O)C)C)[H])C,NA,,,,
BA,369,r-k53jjp,FlaBA,1,1,3a 7a amino methyl sulfonate,(aminomethylsulfonate)-CDCA,CDCA,3a_7a,Aminomethanesulfonic_acid,sulfonic_acid,NA,O[C@@H]1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3([C@@H](C[C@]2([H])C1)O)[H])[H])[C@@H](CC(NCS(=O)([O-])=O)=O)C)C)[H])C,NA,,,,
BA,589,R-4HMEVA,MUnCBA,9,4,Chenodeoxycholyl Amino-methane Sulfurate Na+ salt,(aminomethylsulfonate)-CDCA,CDCA,3a_7a,Aminomethanesulfonic_acid,sulfonic_acid,Sodium,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NCS(=O)([O-])=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,NA,,,,
BA,621,R-MUTSU6,UnuBAC,2,6,Chenodeoxycholyl Amino methane sulfonate Na+ (Pure),(aminomethylsulfonate)-CDCA,CDCA,3a_7a,Aminomethanesulfonic_acid,sulfonic_acid,Sodium,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NCS(=O)([O-])=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,NA,,,,
BA,664,R-PJ5D9K,UnuBAC,6,4,Chenodeoxycholyl Amino-methane sulfonate Na+,(aminomethylsulfonate)-CDCA,CDCA,3a_7a,Aminomethanesulfonic_acid,sulfonic_acid,Sodium,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NCS(=O)([O-])=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,NA,,,,
BA,682,R-KWDA7H,UnuBAC,8,2,N-Methyl  tauro Chenodeoxycholate Na+,(aminomethylsulfonate)-CDCA,CDCA,3a_7a,Aminomethanesulfonic_acid,sulfonic_acid,Sodium,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NCS(=O)([O-])=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,NA,,,,
BA,627,R-X4XBM9,UnuBAC,3,3,"b, b dimethyl tauroursodeoxycholate Na+","(b,b-dimethyl-Tau)-UDCA",UDCA,3a_7b,bb_Me2_Tau,sulfonic_acid,Sodium,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NC(C)(C)CS(O)(=O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@]2([H])C1,NA,,,,
BA,634,R-8UCCY5,UnuBAC,3,9,"b, b dimethyl tauroursodeoxycholate Na+","(b,b-dimethyl-Tau)-UDCA",UDCA,3a_7b,bb_Me2_Tau,sulfonic_acid,Sodium,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NC(C)(C)CS(O)(=O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@]2([H])C1,NA,,,,
BA,390,R-KRHFJ8,FlaBA,3,2,"3a 7b b, b-diMe taurine","(b,b-dimethylTau)-UDCA",UDCA,3a_7b,bb_Me2_Tau,sulfonic_acid,NA,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NC(C)(C)CS(O)(=O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@@H](O)C[C@]2([H])C1,NA,,,,
BA,270,R-VBAEUC,BADer,1,2,cholyl -B-alanine methyl ester,"(beta-Ala)-3a,7a,12a-C24methyl-oate(OH)3",NA,3a_7a_12a,b_Ala_Methyl,methyl_ester,NA,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(OC)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,NA,,,,
BA,373,r-u66ybf,FlaBA,1,5,3a 7a 12a b alanine,(beta-Ala)-CA,CA,3a_7a_12a,b_Ala,carboxylic_acid,NA,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,NA,,,,
BA,582,R-RX3679,MUnCBA,8,8,Cholyl b-Alanine (Pure),(beta-Ala)-CA,CA,3a_7a_12a,b_Ala,carboxylic_acid,NA,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,NA,,,,
BA,606,R-WYFBTR,UnuBAC,1,1,Cholyl B-Alanine (Pure),(beta-Ala)-CA,CA,3a_7a_12a,b_Ala,carboxylic_acid,NA,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,NA,,,,
BA,614,R-AJNNUF,UnuBAC,1,9,Cholyl B-alanine Na+,(beta-Ala)-CA,CA,3a_7a_12a,b_Ala,carboxylic_acid,Sodium,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,NA,,,,
BA,632,R-B4PWPH,UnuBAC,3,7,Cholyl b-Alanine,(beta-Ala)-CA,CA,3a_7a_12a,b_Ala,carboxylic_acid,NA,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,NA,,,,
BA,635,R-94GFSC,UnuBAC,3,10,Cholyl b-Alanine,(beta-Ala)-CA,CA,3a_7a_12a,b_Ala,carboxylic_acid,NA,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1,NA,,,,
BA,656,R-B78G2J,UnuBAC,5,6,Chenodeoxycholyl b-Alanine,(beta-Ala)-CDCA,CDCA,3a_7a,b_Ala,carboxylic_acid,NA,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,NA,,,,
BA,659,R-G952NU,UnuBAC,5,9,Chenodeoxycholyl b-Alanine di Na+ salt,(beta-Ala)-CDCA,CDCA,3a_7a,b_Ala,carboxylic_acid,Disodium,O[C@@H]1CC[C@]2(C)[C@@]3([H])CC[C@]4(C)[C@@H]([C@H](C)CCC(NCCC(O)=O)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@]2([H])C1,NA,,,,
