"Barcode
(##XX###)",Conjugated BAs for ECG Testing,,,,,,,"Light Yellow highlight:
Has more than 1 possible conjugation site (amino acid has more than 1 primary amine)",,,
,Status,,Name,MW (g/mol),Chemical Formula,SMILES,Comments,Amount Needed for Compound Delivery (grams),,,
,Empty,1,Ala-CA,479.658,C27H45NO6,C[C@@H](C(O)=O)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O,1 Primary amino (Ala),0.0000479658,,,Formula For Compound Delivery
,Almost Empty,2,Arg-CA,564.768,C30H52N4O6,N=C(N)NCCC[C@@H](C(O)=O)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O.C[C@@H]([C@H]1CC[C@]2([C@@]3([C@@H](C[C@@]4(C[C@@H](CC[C@@]4([C@]3(C[C@@H]([C@]12C)O)[H])C)O)[H])O)[H])[H])CCC(NC(NCCC[C@@H](C(O)=O)N)=N)=O,"2 Primary aminos (Arg)
= 2 different conjugations",0.0000564768,,,0.01 M * 0.00001 L * MW ?
,Empty,1,Cit-CDCA,549.753,C30H51N3O6,O[C@@H]1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3([C@@H](C[C@]2([H])C1)O)[H])[H])[C@@H](CCC(N[C@H](C(O)=O)CCCNC(N)=O)=O)C)C)[H])C.O=C(O)[C@H](CCCNC(NC(CC[C@@H](C)[C@@H](CC[C@@]1([H])[C@]2([H])[C@H](O)C[C@@]3(C4)[H])[C@@]1(C)CC[C@]2([H])[C@@]3(C)CC[C@H]4O)=O)=O)N,"2 Primary aminos (Cit)
= 2 diff conjugations ",0.0000549753,,,
,Almost Empty,2,Cit-HDCA,549.753,C30H51N3O6,O=C(NCCC[C@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3(C[C@@H]([C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)C(O)=O)N.[H][C@]1(C[C@H](O)CC[C@]1(C)[C@@]2([H])CC[C@]34C)[C@@H](O)C[C@@]2([H])[C@]4([H])CC[C@@H]3[C@H](C)CCC(NC(NCCC[C@@H](C(O)=O)N)=O)=O,,0.0000549753,,,
,Almost Empty,2,Cit-UDCA,549.753,C30H51N3O6,O=C(NCCC[C@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@H](C[C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)C(O)=O)N.[H][C@]1(C[C@H](O)CC[C@]1(C)[C@@]2([H])CC[C@]34C)C[C@H](O)[C@@]2([H])[C@]4([H])CC[C@@H]3[C@H](C)CCC(NC(NCCC[C@@H](C(O)=O)N)=O)=O,,0.0000549753,,,
,Almost Empty,2,His-CA,545.721,C30H47N3O6,O=C(O)[C@H](CC1=CNC=N1)NC(CC[C@@H](C)[C@H]2CC[C@@]3([H])[C@]4([H])[C@H](O)C[C@]5([H])C[C@H](O)CC[C@]5(C)[C@@]4([H])C[C@H](O)[C@]23C)=O,1 Primary amino (His),0.0000545721,,,
,Empty,1,His-CDCA,529.722,C30H47N3O5,O=C([C@@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@@H](C[C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)CC5=CNC=N5)O,,0.0000529722,,,
,Almost Empty,2,His-DCA,529.722,C30H47N3O5,O=C(O)[C@H](CC1=CNC=N1)NC(CC[C@@H](C)[C@H]2CC[C@@]3([H])[C@]4([H])CC[C@]5([H])C[C@H](O)CC[C@]5(C)[C@@]4([H])C[C@H](O)[C@]23C)=O,,0.0000529722,,,
,Almost Empty,2,His-HDCA,529.722,C30H47N3O5,O=C([C@@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3(C[C@@H]([C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)CC5=CNC=N5)O,,0.0000529722,,,
,Almost Empty,2,His-UDCA,529.722,C30H47N3O5,O=C([C@@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@H](C[C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)CC5=CNC=N5)O,,0.0000529722,,,
,Almost Empty,2,Ile-CA,521.739,C30H51NO6,CC[C@H](C)[C@@H](C(O)=O)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O,1 Primary amino (Ile),0.0000521739,,,
,Empty,1,Ile-CDCA,505.740,C30H51NO5,O[C@@H]1CC[C@@]2([C@]3(CC[C@@]4([C@H](CC[C@]4([C@@]3([C@@H](C[C@]2([H])C1)O)[H])[H])[C@@H](CCC(N[C@H](C(O)=O)[C@H](CC)C)=O)C)C)[H])C,,0.000050574,,,
,Almost Empty,2,Ile-DCA,505.740,C30H51NO5,CC[C@H](C)[C@@H](C(O)=O)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O,,0.000050574,,,
,Almost Empty,2,Ile-HDCA,505.740,C30H51NO5,CC[C@@H]([C@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3(C[C@@H]([C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)C(O)=O)C,,0.000050574,,,
,Almost Empty,2,Ile-UDCA,505.740,C30H51NO5,CC[C@@H]([C@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@H](C[C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)C(O)=O)C,,0.000050574,,,
,Empty,1,Leu-CA,521.739,C30H51NO6,CC(C)C[C@@H](C(O)=O)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O,1 Primary amino (Leu),,,,
,Empty,1,Leu-CDCA (1),505.740,C30H51NO5,CC(C[C@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@@H](C[C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)C(O)=O)C,,,,,
,Empty,1,Leu-CDCA (2),505.740,,,,,,,
,Almost Empty,2,Leu-CDCA (3),505.740,,,,,,,
,Empty,1,Leu-DCA,505.740,C30H51NO5,CC(C)C[C@@H](C(O)=O)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O,,,,,
,Almost Empty,2,Leu-HDCA (1),505.740,C30H51NO5,CC(C[C@H](NC(CC[C@H]([C@H]1CC[C@]2([C@@]3(C[C@@H]([C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)C(O)=O)C,,,,,
,Almost Empty,2,Leu-HDCA (1),505.740,,,,,,,
,Almost Empty,2,Lys-CA (A),536.754,C30H52N2O6,O[C@@H]1CC[C@]2(C)[C@@]3([H])C[C@H](O)[C@]4(C)[C@@H]([C@H](C)CCC(NCCCC[C@@H](C(O)=O)N)=O)CC[C@@]4([H])[C@]3([H])[C@H](O)C[C@@]([H])2C1.O[C@@H]1CC[C@@]2([C@]3(C[C@@H]([C@@]4([C@H](CC[C@]4([C@@]3([C@@H](C[C@@]2(C1)[H])O)[H])[H])[C@@H](CCC(N[C@H](C(O)=O)CCCCN)=O)C)C)O)[H])C,"2 Primary aminos (Lys)
= 2 conjugations each",,,,
,Almost Empty,2,Lys-CA (B),536.754,,,,,,,
,Empty,1,Lys-CDCA (A),520.755,C30H52N2O5,N[C@H](C(O)=O)CCCCNC(CC[C@H]([C@H]1CC[C@]2([C@@]3([C@@H](C[C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O.OC([C@H](CCCCN)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@@]4(C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[H])=O)=O,,,,,
,Almost Empty,2,Lys-CDCA (B),520.755,,,,,,,
,Empty,1,Lys-DCA (A),520.755,C30H52N2O5,N[C@H](C(O)=O)CCCCNC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)=O.OC([C@H](CCCCN)NC(CC[C@H]([C@H]1CC[C@]2([C@@]3(CC[C@@]4(C[C@@H](CC[C@@]4([C@]3(C[C@@H]([C@]12C)O)[H])C)O)[H])[H])[H])C)=O)=O,,,,,
,Almost Empty,2,Lys-DCA (B),520.755,,,,,,,
,Empty,1,Lys-HDCA (A),520.755,C30H52N2O5,N[C@@H](CCCCNC(CC[C@H]([C@H]1CC[C@]2([C@@]3(C[C@@H]([C@]4([H])C[C@@H](CC[C@@]4([C@]3(CC[C@]12C)[H])C)O)O)[H])[H])C)=O)C(O)=O.NCCCC[C@@H](C(O)=O)NC(CC[C@@H](C)[C@H]1CC[C@@]2([H])[C@]3([H])C[C@H](O)[C@@]4(C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[H])=O,,,,,
,Almost Empty,2,Lys-HDCA (B),520.755,,,,,,,
